model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,brand
 A4,2017,22495,Semi-Auto,61008,Petrol,145.0,44.1,2.0,Audi
 A3,2018,26000,Semi-Auto,30600,Petrol,145.0,43.5,2.0,Audi
 Up,2017,8450,Manual,21427,Petrol,150.0,64.2,1.0,VW
 Fiesta,2017,12000,Manual,23423,Petrol,145.0,47.9,1.6,Ford
 A6,2018,24480,Semi-Auto,30067,Petrol,150.0,47.1,1.8,Audi
 Yaris,2017,9420,Manual,7788,Petrol,30.0,58.0,1.3,toyota
 T-Cross,2020,25395,Automatic,298,Petrol,145.0,45.6,1.0,VW
 A Class,2019,20899,Automatic,11587,Petrol,145.0,53.3,1.3,Merc
 5 Series,2019,38995,Automatic,6500,Hybrid,135.0,156.9,2.0,BMW
 Mokka,2013,5000,Manual,86879,Petrol,200.0,43.5,1.6,Vauxhall
 Golf,2016,13698,Manual,66217,Diesel,20.0,67.3,2.0,VW
 Kamiq,2019,19290,Manual,2366,Petrol,145.0,47.1,1.0,Skoda
 Crossland X,2018,11500,Manual,9730,Diesel,145.0,78.5,1.6,Vauxhall
 A4,2017,17490,Manual,35000,Petrol,125.0,49.6,2.0,Audi
 Fabia,2019,12485,Manual,938,Petrol,145.0,51.4,1.0,Skoda
 3 Series,2016,18998,Semi-Auto,33087,Diesel,160.0,51.4,3.0,BMW
 Focus,2019,17270,Manual,5250,Petrol,145.0,54.3,1.0,Focus
 Focus,2019,26500,Manual,419,Petrol,145.0,34.5,2.3,Ford
 A6,2019,29990,Semi-Auto,5397,Diesel,145.0,50.4,2.0,Audi
 Fiesta,2018,10750,Manual,31000,Diesel,150.0,88.3,1.5,Ford
 C Class,2019,26530,Automatic,3995,Diesel,145.0,54.3,1.6,cclass
 Kona,2018,15995,Manual,19758,Petrol,145.0,52.3,1.0,Hyundi
 Focus,2017,8000,Manual,51378,Petrol,145.0,60.1,1.0,Ford
 A Class,2020,25998,Manual,1000,Petrol,145.0,44.8,1.3,Merc
 Tiguan,2019,23420,Semi-Auto,6923,Petrol,145.0,37.7,1.5,VW
 Focus,2015,7990,Manual,42000,Diesel,145.0,54.3,1.5,Focus
 Fiesta,2019,16199,Semi-Auto,8310,Petrol,145.0,48.7,1.0,Ford
 1 Series,2018,22761,Semi-Auto,24866,Petrol,150.0,32.5,3.0,BMW
 C Class,2015,14698,Semi-Auto,43331,Diesel,145.0,54.3,2.1,cclass
 Kuga,2017,17000,Semi-Auto,15451,Diesel,145.0,54.3,2.0,Ford
 Tiguan,2018,18998,Manual,11548,Petrol,150.0,46.3,1.4,VW
 Ka+,2017,8495,Manual,14640,Petrol,145.0,57.7,1.2,Ford
 5 Series,2016,14950,Automatic,49650,Diesel,30.0,62.8,2.0,BMW
 C Class,2018,23299,Semi-Auto,17000,Diesel,145.0,54.3,2.1,cclass
 Scirocco,2014,8690,Manual,48501,Petrol,160.0,44.1,1.4,VW
 Focus,2017,13500,Semi-Auto,16856,Petrol,145.0,51.4,1.0,Ford
 1 Series,2018,18000,Semi-Auto,7929,Petrol,150.0,36.7,1.5,BMW
 S Class,2018,57995,Semi-Auto,1861,Petrol,145.0,40.9,3.0,Merc
 Adam,2016,8495,Manual,29229,Petrol,30.0,57.6,1.0,Vauxhall
 1 Series,2016,8990,Manual,45000,Diesel,20.0,72.4,1.5,BMW
 A6,2016,18900,Semi-Auto,38367,Diesel,30.0,61.4,2.0,Audi
 Polo,2017,11000,Automatic,36485,Petrol,150.0,60.1,1.2,VW
 E Class,2018,24892,Semi-Auto,9900,Diesel,145.0,61.4,2.0,Merc
 Golf,2014,8500,Automatic,67000,Diesel,20.0,72.4,1.6,VW
 4 Series,2019,31175,Manual,123,Petrol,145.0,46.3,2.0,BMW
 E Class,2019,24995,Semi-Auto,8400,Diesel,145.0,72.4,2.0,Merc
 I10,2017,6699,Manual,18600,Petrol,30.0,57.6,1.2,Hyundi
 Astra,2016,9490,Manual,20410,Petrol,20.0,64.2,1.0,Vauxhall
 Focus,2019,15400,Manual,9700,Petrol,145.0,54.3,1.0,Focus
 A3,2016,16490,Semi-Auto,23194,Petrol,30.0,54.3,1.4,Audi
 I20,2017,8995,Manual,27921,Petrol,150.0,55.4,1.2,Hyundi
 Fiesta,2018,10290,Manual,14696,Petrol,145.0,58.9,1.0,Ford
 GLA Class,2017,16999,Manual,33014,Petrol,145.0,48.7,1.6,Merc
 Astra,2016,8995,Manual,25000,Petrol,125.0,51.4,1.4,Vauxhall
 Aygo,2015,5498,Manual,40599,Petrol,0.0,69.0,1.0,toyota
 GLA Class,2017,17998,Semi-Auto,47465,Diesel,145.0,64.2,2.1,Merc
 Polo,2019,15591,Semi-Auto,6419,Petrol,145.0,45.6,1.0,VW
 2 Series,2017,14951,Manual,22887,Petrol,145.0,55.4,1.5,BMW
 Mokka X,2019,14290,Manual,15985,Diesel,145.0,50.4,1.6,Vauxhall
 Fabia,2018,12490,Manual,6912,Petrol,145.0,64.2,1.0,Skoda
 C Class,2017,19000,Automatic,33891,Diesel,30.0,61.4,2.1,Merc
 I10,2019,9380,Manual,3215,Petrol,145.0,49.6,1.0,Hyundi
 Corsa,2017,7500,Manual,17400,Petrol,150.0,55.4,1.4,Vauxhall
 Karoq,2019,27500,Automatic,4992,Petrol,145.0,33.2,2.0,Skoda
 I40,2019,15495,Manual,12000,Diesel,145.0,54.3,1.6,Hyundi
 A3,2019,19750,Manual,4750,Diesel,145.0,53.3,1.6,Audi
 Verso,2016,12295,Manual,14251,Diesel,30.0,62.8,1.6,toyota
 Mokka,2015,8971,Manual,30176,Diesel,30.0,65.7,1.6,Vauxhall
 Yaris,2014,6999,Manual,45678,Petrol,30.0,55.0,1.3,toyota
 Up,2016,7000,Manual,17809,Petrol,20.0,64.2,1.0,VW
 Prius,2017,17498,Automatic,21824,Hybrid,0.0,94.1,1.8,toyota
 Santa Fe,2017,16989,Manual,27287,Diesel,145.0,47.1,2.2,Hyundi
 T-Roc,2019,21495,Manual,3014,Diesel,145.0,50.4,1.6,VW
 Octavia,2018,11800,Manual,5614,Petrol,150.0,58.9,1.0,Skoda
 Aygo,2017,6200,Manual,28664,Petrol,0.0,69.0,1.0,toyota
 Focus,2016,7299,Manual,88993,Diesel,0.0,74.3,1.5,Ford
 Golf,2016,8399,Manual,38282,Diesel,0.0,74.3,1.6,VW
 Tiguan,2016,16498,Manual,48858,Diesel,150.0,53.3,2.0,VW
 Focus,2017,14000,Automatic,5450,Petrol,125.0,51.4,1.0,Ford
 Fiesta,2019,12000,Manual,4377,Petrol,145.0,58.9,1.0,Ford
 Focus,2019,16995,Manual,10584,Diesel,145.0,54.3,1.5,Focus
 Karoq,2018,14990,Manual,14538,Diesel,145.0,61.4,1.6,Skoda
 Yaris,2016,8298,Manual,26633,Petrol,30.0,58.0,1.3,toyota
 3 Series,2016,17106,Automatic,22019,Hybrid,0.0,148.7,2.0,BMW
 Fabia,2017,11695,Semi-Auto,14500,Petrol,145.0,60.1,1.2,Skoda
 Passat,2018,22972,Semi-Auto,56955,Hybrid,135.0,166.0,1.4,VW
 Ioniq,2020,22000,Automatic,1500,Hybrid,135.0,62.8,1.6,Hyundi
 Fiesta,2014,6702,Manual,21512,Petrol,30.0,54.3,1.2,Ford
 Focus,2016,9299,Manual,26805,Diesel,145.0,54.3,1.5,Focus
 B Class,2016,14152,Manual,18245,Diesel,20.0,68.9,1.5,Merc
 X1,2016,13495,Manual,47000,Diesel,20.0,68.9,2.0,BMW
 A4,2019,28990,Automatic,2475,Diesel,145.0,50.4,2.0,Audi
 Astra,2017,9990,Manual,29550,Diesel,20.0,72.4,1.6,Vauxhall
 X5,2019,47990,Semi-Auto,5311,Diesel,145.0,37.7,3.0,BMW
 GLC Class,2019,32919,Semi-Auto,1000,Diesel,145.0,44.8,2.0,Merc
 Q5,2014,15998,Semi-Auto,25242,Diesel,200.0,47.1,2.0,Audi
 4 Series,2015,10195,Automatic,110720,Diesel,125.0,61.4,2.0,BMW
 Adam,2019,9995,Manual,3963,Petrol,145.0,44.8,1.2,Vauxhall
 Scirocco,2017,11997,Manual,19759,Petrol,145.0,37.2,1.4,VW
 X2,2020,26980,Semi-Auto,2501,Petrol,150.0,38.7,2.0,BMW
 Kuga,2017,15400,Manual,29004,Diesel,150.0,54.3,2.0,Ford
 Polo,2017,11990,Semi-Auto,29830,Petrol,150.0,60.1,1.2,VW
 Mokka X,2019,16291,Semi-Auto,6054,Petrol,150.0,37.2,1.4,Vauxhall
 Polo,2017,10200,Manual,22500,Petrol,145.0,60.1,1.2,VW
 2 Series,2018,19950,Semi-Auto,10206,Petrol,145.0,50.4,1.5,BMW
 Mokka,2015,9995,Manual,20936,Diesel,30.0,65.7,1.6,Vauxhall
 Astra,2016,10795,Manual,30700,Petrol,125.0,51.4,1.4,Vauxhall
 CLS Class,2013,12210,Automatic,54238,Diesel,145.0,54.3,2.1,Merc
 Kuga,2017,14498,Manual,23356,Diesel,145.0,60.1,2.0,Ford
 Avensis,2017,13295,Automatic,31774,Petrol,145.0,46.3,1.8,toyota
 Focus,2017,18998,Manual,10222,Petrol,145.0,41.5,2.0,Ford
 Sharan,2019,27990,Semi-Auto,998,Petrol,145.0,32.5,1.4,VW
 V Class,2019,49589,Semi-Auto,1000,Diesel,145.0,44.8,2.2,Merc
 Fiesta,2018,11900,Manual,9080,Petrol,145.0,62.8,1.0,Ford
 Golf,2010,4499,Manual,88493,Diesel,125.0,58.9,1.6,VW
 Q8,2020,73495,Semi-Auto,1500,Diesel,150.0,32.8,3.0,Audi
 Focus,2016,10000,Manual,19785,Petrol,145.0,54.3,1.0,Focus
 Focus,2016,16000,Manual,19834,Petrol,145.0,54.3,2.0,Focus
 C Class,2016,18998,Semi-Auto,28388,Diesel,145.0,54.3,1.6,cclass
 A4,2017,16380,Manual,38331,Diesel,20.0,68.9,2.0,Audi
 Focus,2016,8370,Manual,43924,Petrol,145.0,54.3,1.0,Focus
 Up,2016,6299,Manual,28053,Petrol,20.0,62.8,1.0,VW
 Aygo,2017,6299,Manual,38189,Petrol,0.0,69.0,1.0,toyota
 Yeti Outdoor,2017,15990,Semi-Auto,710,Petrol,125.0,51.4,1.2,Skoda
 E Class,2019,43519,Automatic,1000,Petrol,145.0,29.7,3.0,Merc
 Insignia,2019,15998,Manual,15302,Diesel,145.0,49.6,2.0,Vauxhall
 Mokka X,2019,12995,Manual,14443,Petrol,145.0,39.2,1.4,Vauxhall
 Ka+,2018,9500,Manual,1295,Petrol,150.0,48.7,1.2,Ford
 Arteon,2019,25990,Semi-Auto,13500,Diesel,145.0,44.1,2.0,VW
 Focus,2018,13150,Manual,5055,Petrol,145.0,57.7,1.0,Ford
 I30,2016,8900,Manual,18257,Diesel,0.0,78.4,1.6,Hyundi
 Fiesta,2019,11990,Manual,12950,Diesel,150.0,58.9,1.5,Ford
 Up,2020,10799,Manual,943,Petrol,145.0,51.4,1.0,VW
 E Class,2018,26490,Semi-Auto,17993,Diesel,145.0,58.9,2.0,Merc
 Q7,2018,40755,Automatic,12200,Diesel,145.0,33.2,3.0,Audi
 Golf,2019,18950,Manual,2000,Diesel,145.0,56.5,1.6,VW
 3 Series,2019,26995,Semi-Auto,12399,Diesel,150.0,52.3,2.0,BMW
 Focus,2018,12700,Manual,14363,Petrol,145.0,60.1,1.0,Ford
 Q8,2019,57970,Semi-Auto,7606,Diesel,145.0,33.6,3.0,Audi
 Tucson,2020,25000,Semi-Auto,7417,Petrol,145.0,36.2,1.6,Hyundi
 A5,2014,8999,Automatic,83587,Diesel,145.0,53.3,2.0,Audi
 Sharan,2019,26995,Manual,207,Diesel,145.0,43.5,2.0,VW
 Fabia,2017,12000,Semi-Auto,13082,Petrol,20.0,60.1,1.2,Skoda
 Kuga,2017,15999,Manual,31065,Diesel,145.0,54.3,2.0,Ford
 Focus,2018,14491,Manual,22052,Petrol,145.0,60.1,1.0,Ford
 EcoSport,2018,13225,Manual,9000,Petrol,145.0,54.3,1.0,Ford
 C Class,2019,29592,Automatic,7325,Petrol,145.0,54.3,2.0,cclass
 Corsa,2014,6895,Manual,14634,Petrol,125.0,51.4,1.2,Vauxhall
 5 Series,2019,30991,Semi-Auto,2435,Hybrid,135.0,156.9,2.0,BMW
 Octavia,2019,15790,Semi-Auto,8944,Diesel,145.0,72.4,1.6,Skoda
 Citigo,2016,6690,Manual,21900,Petrol,20.0,62.8,1.0,Skoda
 Astra,2017,8913,Manual,46323,Diesel,20.0,72.4,1.6,Vauxhall
 Grand C-MAX,2017,11495,Manual,24501,Diesel,145.0,64.2,1.5,Ford
 C-HR,2019,22498,Automatic,21566,Hybrid,135.0,74.3,1.8,toyota
 C Class,2015,15499,Manual,36103,Diesel,20.0,68.9,2.1,Merc
 1 Series,2017,11850,Manual,29227,Petrol,125.0,53.3,1.5,BMW
 Focus,2019,17520,Manual,4595,Petrol,145.0,54.3,1.0,Focus
 Polo,2017,9890,Manual,24867,Diesel,145.0,74.3,1.4,VW
 Focus,2015,12495,Manual,45000,Diesel,145.0,54.3,2.0,Focus
 S-MAX,2017,21500,Automatic,16000,Petrol,260.0,35.8,2.0,Ford
 A3,2019,23990,Semi-Auto,9499,Petrol,145.0,41.5,1.5,Audi
 Golf,2019,17980,Manual,5210,Diesel,145.0,55.4,1.6,VW
 C Class,2017,18270,Semi-Auto,49783,Diesel,30.0,64.2,2.1,Merc
 Aygo,2013,4325,Manual,25454,Petrol,0.0,65.7,1.0,toyota
 Fiesta,2017,8000,Manual,19501,Petrol,150.0,65.7,1.0,Ford
 Focus,2017,10800,Manual,35629,Petrol,145.0,60.1,1.0,Ford
 Golf,2016,19500,Automatic,33001,Petrol,200.0,40.4,2.0,VW
 T-Roc,2018,17499,Manual,13500,Petrol,150.0,44.1,1.0,VW
 Yaris,2007,3491,Manual,35930,Petrol,160.0,47.1,1.3,toyota
 C Class,2014,21495,Automatic,56444,Petrol,580.0,23.5,6.2,Merc
 Fiesta,2017,8500,Manual,31413,Petrol,145.0,65.7,1.0,Ford
 T-Roc,2019,23990,Manual,4799,Diesel,150.0,50.4,2.0,VW
 Citigo,2017,8000,Manual,4063,Petrol,20.0,64.2,1.0,Skoda
 Fiesta,2016,9400,Manual,10791,Petrol,125.0,54.3,1.2,Ford
 2 Series,2019,21550,Automatic,6498,Diesel,150.0,67.3,2.0,BMW
 Polo,2019,15690,Automatic,4463,Petrol,145.0,45.6,1.0,VW
 RS6,2015,51995,Semi-Auto,11484,Petrol,325.0,29.4,4.0,Audi
 E Class,2019,25480,Automatic,2000,Diesel,145.0,67.3,2.0,Merc
 Fiesta,2019,15995,Manual,1667,Petrol,145.0,58.9,1.0,Ford
 Golf,2015,16700,Manual,29507,Petrol,145.0,47.1,2.0,VW
 Fabia,2017,8495,Manual,17307,Petrol,20.0,60.1,1.2,Skoda
 CC,2011,7440,Automatic,74000,Diesel,150.0,53.3,2.0,VW
 I10,2018,7159,Manual,32573,Petrol,150.0,57.7,1.2,Hyundi
 Mokka X,2019,13688,Manual,12659,Petrol,145.0,39.2,1.4,Vauxhall
 Fiesta,2017,11450,Manual,5551,Petrol,20.0,62.8,1.0,Ford
 Q3,2018,20745,Manual,12245,Petrol,150.0,49.6,1.4,Audi
 1 Series,2013,9999,Manual,48279,Petrol,145.0,50.4,1.6,BMW
 A4,2016,20699,Semi-Auto,49800,Diesel,145.0,53.3,3.0,Audi
 C Class,2020,30500,Semi-Auto,100,Diesel,145.0,64.2,2.0,Merc
 Focus,2019,16599,Automatic,12238,Petrol,145.0,48.7,1.0,Ford
 Golf,2017,12999,Manual,22459,Petrol,30.0,53.3,1.4,VW
 X6,2020,59989,Semi-Auto,3000,Diesel,145.0,34.9,3.0,BMW
 3 Series,2015,8691,Manual,73017,Diesel,20.0,68.9,2.0,BMW
 3 Series,2014,8795,Manual,130340,Diesel,145.0,55.4,2.0,BMW
 Mokka X,2019,13990,Manual,9491,Petrol,145.0,39.2,1.4,Vauxhall
 Fabia,2018,10995,Manual,11678,Petrol,145.0,64.2,1.0,Skoda
 Kuga,2013,7999,Manual,78170,Diesel,200.0,47.9,2.0,Ford
 3 Series,2014,14500,Automatic,45140,Diesel,125.0,57.6,3.0,BMW
 Tucson,2019,26995,Semi-Auto,12,Diesel,145.0,46.3,1.6,Hyundi
 C Class,2019,27690,Semi-Auto,8070,Petrol,145.0,54.3,2.0,cclass
 I30,2020,26990,Manual,1300,Petrol,150.0,34.0,2.0,Hyundi
 C Class,2019,28359,Semi-Auto,6040,Petrol,145.0,54.3,2.0,cclass
 GLA Class,2017,19450,Automatic,42932,Diesel,125.0,56.5,2.1,Merc
 Polo,2016,9818,Manual,23562,Petrol,20.0,60.1,1.2,VW
 IX35,2013,6498,Manual,56726,Diesel,150.0,48.7,1.7,Hyundi
 Fiesta,2018,13491,Manual,7552,Petrol,145.0,65.7,1.0,Ford
 Golf,2018,13000,Manual,31841,Diesel,150.0,61.4,1.6,VW
 Scirocco,2015,12350,Manual,33000,Diesel,20.0,55.4,2.0,VW
 Focus,2017,12495,Automatic,20693,Petrol,145.0,54.3,1.5,Focus
 Tiguan,2018,24750,Manual,11983,Diesel,145.0,47.9,2.0,VW
 Focus,2016,9600,Manual,27036,Diesel,145.0,54.3,1.5,Focus
 Fabia,2018,9298,Manual,10012,Petrol,145.0,57.7,1.0,Skoda
 Tucson,2017,15998,Manual,14412,Diesel,150.0,61.4,1.7,Hyundi
 Focus,2019,17150,Manual,10633,Petrol,145.0,54.3,1.0,Focus
 Caravelle,2019,48995,Semi-Auto,6000,Diesel,145.0,29.4,2.0,VW
 A Class,2017,15200,Manual,8624,Diesel,150.0,68.9,2.1,Merc
 Superb,2018,18495,Semi-Auto,39300,Diesel,145.0,56.5,2.0,Skoda
 Scala,2019,15495,Manual,5027,Petrol,145.0,49.6,1.0,Skoda
 Tiguan,2019,31790,Automatic,10264,Diesel,145.0,39.2,2.0,VW
 Kuga,2019,16499,Manual,13500,Diesel,145.0,38.2,2.0,Ford
 Corsa,2014,4820,Manual,31539,Petrol,125.0,51.4,1.2,Vauxhall
 Aygo,2017,6999,Manual,16012,Petrol,145.0,69.0,1.0,toyota
 Grandland X,2019,18997,Automatic,4083,Petrol,150.0,43.5,1.2,Vauxhall
 Insignia,2014,7800,Manual,46587,Diesel,30.0,65.7,2.0,Vauxhall
 C Class,2017,16442,Automatic,58687,Diesel,145.0,64.2,2.1,Merc
 Aygo,2019,9995,Manual,1900,Petrol,145.0,57.7,1.0,toyota
 4 Series,2019,23480,Automatic,5738,Diesel,145.0,65.7,2.0,BMW
 Astra,2019,12495,Manual,16251,Petrol,150.0,51.4,1.4,Vauxhall
 Fiesta,2015,8499,Manual,22328,Petrol,0.0,65.7,1.0,Ford
 Mokka,2016,10998,Automatic,9437,Petrol,165.0,43.5,1.4,Vauxhall
 Tiguan,2017,16995,Manual,46591,Diesel,150.0,58.9,2.0,VW
 Focus,2017,9659,Manual,22887,Petrol,20.0,61.4,1.0,Ford
 Golf,2015,10298,Manual,46706,Petrol,30.0,53.3,1.4,VW
 Q7,2019,41950,Automatic,16000,Diesel,145.0,33.6,3.0,Audi
 Corsa,2019,11000,Manual,3648,Petrol,145.0,43.5,1.4,Vauxhall
 Octavia,2016,11990,Manual,35650,Petrol,30.0,55.4,1.4,Skoda
 Focus,2017,18499,Manual,13063,Petrol,145.0,54.3,2.0,Focus
 C Class,2019,30049,Semi-Auto,5927,Petrol,145.0,44.1,2.0,Merc
 Astra,2019,16995,Manual,25,Diesel,145.0,72.4,1.6,Vauxhall
 Q3,2019,31490,Automatic,7753,Petrol,145.0,31.7,2.0,Audi
 1 Series,2016,12995,Manual,18824,Diesel,20.0,70.6,2.0,BMW
 Superb,2016,8000,Manual,114160,Diesel,20.0,68.9,1.6,Skoda
 SL CLASS,2019,89880,Automatic,50,Petrol,145.0,28.0,5.5,Merc
 Aygo,2014,4495,Manual,19658,Petrol,0.0,65.7,1.0,toyota
 Q2,2020,24444,Manual,4432,Petrol,145.0,43.5,1.5,Audi
 CLS Class,2018,34480,Semi-Auto,16432,Diesel,145.0,48.7,2.9,Merc
